sample_name,input_id,input_value,input_type
rCRSd-fasta,fasta,http://big.databio.org/refgenomes/rCRSd.fa.gz,files
hg18-fasta,fasta,http://big.databio.org/refgenomes/hg18.fa.gz,files
hg38-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/405/GCA_000001405.15_GRCh38/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz,files
hg38-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,files
hg38_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh38.cdna.all.fa.gz,files
hg19-fasta,fasta,http://hgdownload.cse.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz,files
hg19-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,files
hg19_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-75/fasta/homo_sapiens/cdna/Homo_sapiens.GRCh37.75.cdna.all.fa.gz,files
hg18-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-40/homo_sapiens_40_36b/data/fasta/cdna/Homo_sapiens.NCBI36.40.cdna.all.fa.gz,files
hg18_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-40/homo_sapiens_40_36b/data/fasta/cdna/Homo_sapiens.NCBI36.40.cdna.all.fa.gz,files
mm10-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/635/GCA_000001635.5_GRCm38.p3/seqs_for_alignment_pipelines.ucsc_ids/GCA_000001635.5_GRCm38.p3_no_alt_analysis_set.fna.gz,files
mm10-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,files
mm10_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/mus_musculus/cdna/Mus_musculus.GRCm38.cdna.all.fa.gz,files
rn6-fasta,fasta,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/001/895/GCA_000001895.4_Rnor_6.0/GCA_000001895.4_Rnor_6.0_genomic.fna.gz,files
rn6-fasta_txome,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,files
rn6_cdna-fasta,fasta,ftp://ftp.ensembl.org/pub/release-97/fasta/rattus_norvegicus/cdna/Rattus_norvegicus.Rnor_6.0.cdna.all.fa.gz,files
hg38-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/homo_sapiens/Homo_sapiens.GRCh38.97.gtf.gz,files
hg19-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/grch37/current/gtf/homo_sapiens/Homo_sapiens.GRCh37.87.gtf.gz,files
mm10-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/mus_musculus/Mus_musculus.GRCm38.97.gtf.gz,files
rn6-ensembl_gtf,ensembl_gtf,ftp://ftp.ensembl.org/pub/release-97/gtf/rattus_norvegicus/Rattus_norvegicus.Rnor_6.0.97.gtf.gz,files
hg19-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_32/GRCh37_mapping/gencode.v32lift37.annotation.gtf.gz,files
hg38-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_29/gencode.v29.primary_assembly.annotation.gtf.gz,files
mm10-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_mouse/release_M22/gencode.vM22.annotation.gtf.gz,files
hg18-gencode_gtf,gencode_gtf,ftp://ftp.ebi.ac.uk/pub/databases/gencode/Gencode_human/release_3c/gencode.v3c.annotation.NCBI36.gtf.gz,files
hg38-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/release-97/regulation/homo_sapiens/homo_sapiens.GRCh38.Regulatory_Build.regulatory_features.20190329.gff.gz,files
hg19-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/grch37/current/regulation/homo_sapiens/homo_sapiens.GRCh37.Regulatory_Build.regulatory_features.20180925.gff.gz,files
mm10-ensembl_rb,ensembl_rb,ftp://ftp.ensembl.org/pub/release-97/regulation/mus_musculus/mus_musculus.GRCm38.Regulatory_Build.regulatory_features.20180516.gff.gz,files
hg38-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg38/database/refGene.txt.gz,files
hg19-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/hg19/database/refGene.txt.gz,files
mm10-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/mm10/database/refGene.txt.gz,files
rn6-refgene_anno,refgene,http://hgdownload.cse.ucsc.edu/goldenpath/rn6/database/refGene.txt.gz,files
hg38-dbnsfp,dbnsfp,ftp://dbnsfp:dbnsfp@dbnsfp.softgenetics.com/dbNSFP4.0c.zip,files
