sample_name,species,common_genome_name,authority,ftp_file_path,file_type,description
GRCh37-igenomes-ensembl, homo_sapiens, hg19, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/Ensembl/GRCh37/Homo_sapiens_Ensembl_GRCh37.tar.gz, fasta, igenomes hosted GRCh37 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
GRCh38-igenomes-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/GRCh38/Homo_sapiens_NCBI_GRCh38.tar.gz, fasta, igenomes hosted GRCh38 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
GRCh38-igenomes-build37-2-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build37.2/Homo_sapiens_NCBI_build37.2.tar.gz, fasta, igenomes hosted GRCh38 build 37.2 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
GRCh38-igenomes-build37-1-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build37.1/Homo_sapiens_NCBI_build37.1.tar.gz, fasta, igenomes hosted GRCh38 build 37.1 FAILS NOT SINGLE FASTA FILE see see local_fasta_only.csv
GRCh38-igenomes-build36-3-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/build36.3/Homo_sapiens_NCBI_build36.3.tar.gz, fasta, igenomes hosted GRCh38 build 36.3 FAILS NOT SINGLE FASTA FILE see see local_fasta_only.csv
GRCh38-igenomes-decoy-ncbi, homo_sapiens, hg38, igenomes, https://s3.amazonaws.com/igenomes.illumina.com/Homo_sapiens/NCBI/GRCh38Decoy/Homo_sapiens_NCBI_GRCh38Decoy.tar.gz, fasta, igenomes hosted GRCh38 decoy FAILS NOT SINGLE FASTA FILE see see local_fasta_only.csv
hg38-igenomes-ucsc, homo_sapiens, hg38, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg38/Homo_sapiens_UCSC_hg38.tar.gz, fasta, igenomes hosted hg38 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
hg19-igenomes-ucsc, homo_sapiens, hg19, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg19/Homo_sapiens_UCSC_hg19.tar.gz, fasta, igenomes hosted hg19 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
hg18-igenomes-ucsc, homo_sapiens, hg18, igenomes, http://igenomes.illumina.com.s3-website-us-east-1.amazonaws.com/Homo_sapiens/UCSC/hg18/Homo_sapiens_UCSC_hg18.tar.gz, fasta, igenomes hosted hg18 FAILS NOT SINGLE FASTA FILE see local_fasta_only.csv
hs37-1kg-ncbi, homo_sapiens, hg19, ncbi, ftp://ftp-trace.ncbi.nih.gov/1000genomes/ftp/technical/reference/human_g1k_v37.fasta.gz, fasta, hs37-1kg genome referenced on HL blog 2017 FAILS WILL NOT EXTRACT see local_fasta_only.csv
hs37d5-ncbi, homo_sapiens, hg19, ncbi, ftp://ftp-trace.ncbi.nih.gov/1000genomes/ftp/technical/reference/phase2_reference_assembly_sequence/hs37d5.fa.gz, fasta, hs37d5 genome referenced on HL blog 2017 FAILS WILL NOT EXTRACT see local_fasta_only.csv
hg38-refgenie, homo_sapiens, hg38, refgenie, http://refgenomes.databio.org/v3/assets/archive/2230c535660fb4774114bfa966a62f823fdb6d21acf138d4/fasta?tag=default, fasta, refgenie's The GCA_000001405.15 GRCh38_no_alt_analysis_set from NCBI NOT SINGLE FASTA FILE see local_fasta_only.csv
hg38-primary-refgenie, homo_sapiens, hg38, refgenie, http://refgenomes.databio.org/v3/assets/archive/047c6e1eda552b50c5add59ff0995a40bc4ce1732e3cc4ae/fasta?tag=default, fasta, refgenie's UCSC hg38 assembly with primary chromosomes only NOT SINGLE FASTA FILE see local_fasta_only.csv
hg18-refgenie, homo_sapiens, hg18, refgenie, http://refgenomes.databio.org/v3/assets/archive/9b7fd88cae1bd01bf53760fb426e2aeb299150cc64af2b01/fasta?tag=default, fasta, refgenie's NCBI36 reference sequence from UCSC. The individual chromosome files were concatenated prior to the asset building NOT SINGLE FASTA FILE see local_fasta_only.csv
hg19-refgenie, homo_sapiens, hg19, refgenie, http://refgenomes.databio.org/v3/assets/archive/baa91c8f6e2780cfd8fd1040ff37f51c379947a2a4820d6c/fasta?tag=default, fasta, refgenie's he GRCh37 reference sequence from UCSC NOT SINGLE FASTA FILE see local_fasta_only.csv
