sample_name,species,common_genome_name,authority,ftp_file_path,file_type,description
GRCh38.p14-fasta-no-alt-analysis, homo_sapiens, hg38, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_no_alt_analysis_set.fna.gz, fasta, GCA_000001405.15 GRCh38_no_alt_analysis from NCBI 
GRCh38.p14-fasta-full-analysis, homo_sapiens, hg38, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_full_analysis_set.fna.gz, fasta, GCA_000001405.15_GRCh38_full_analysis_set from NCBI
GRCh38.p14-fasta-genomic, homo_sapiens, hg38, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GCF_000001405.40_GRCh38.p14_genomic.fna.gz, fasta, GCF_000001405.40_GRCh38.p14_genomic from NCBI
GRCh38.p14-fasta-full-analysis-plus-hs38d1, homo_sapiens, hg38, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_full_plus_hs38d1_analysis_set.fna.gz, fasta, GCA_000001405.15_GRCh38_full_analysis_set from NCBI plus hs38d1 decoy sequences
GRCh38.p14-fasta-no-alt-plus-hs38d1, homo_sapiens, hg38, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.40_GRCh38.p14/GRCh38_major_release_seqs_for_alignment_pipelines/GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set.fna.gz, fasta, GCA_000001405.15_GRCh38_no_alt_plus_hs38d1_analysis_set from NCBI plus hs38d1 decoy sequences
GRCh37.p13-fasta-no-alt-analysis, homo_sapiens, hg19, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13/GRCh37_seqs_for_alignment_pipelines/GCA_000001405.14_GRCh37.p13_no_alt_analysis_set.fna.gz, fasta, GCA_000001405.14_GRCh37.p13_no_alt_analysis from NCBI
GRCh37.p13-fasta-full-analysis, homo_sapiens, hg19, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13/GRCh37_seqs_for_alignment_pipelines/GCA_000001405.14_GRCh37.p13_full_analysis_set.fna.gz, fasta, GCA_000001405.14_GRCh37.p13_full_analysis_set from NCBI
GRCh37.p13-fasta-genomic, homo_sapiens, hg19, ncbi, https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13/GCF_000001405.25_GRCh37.p13_genomic.fna.gz, fasta, GCF_000001405.25_GRCh37.p13_genomic from NCBI
hg38-initial-ucsc, homo_sapiens, hg38, ucsc, https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/hg38.fa.gz, fasta, hg38 from UCSC representing initial 2013 release
hg38-p14-ucsc, homo_sapiens, hg38, ucsc, https://hgdownload.soe.ucsc.edu/goldenPath/hg38/bigZips/p14/hg38.p14.fa.gz, fasta, hg38 from UCSC patch 14
hg19-initial-ucsc, homo_sapiens, hg19, ucsc, https://hgdownload.soe.ucsc.edu/goldenPath/hg19/bigZips/hg19.fa.gz, fasta, hg19 from UCSC representing initial 2009 release
