sample_name,group
hg38-alt-rm-113-ensembl,ensembl
hg38-alt-113-ensembl,ensembl
hg38-alt-sm-113-ensembl,ensembl
GRCh38.p14-fasta-no-alt-analysis,ncbi
GRCh37.p13-fasta-no-alt-analysis,ncbi
GRCh37.p13-fasta-genomic,ncbi
GRCh38.p14-fasta-full-analysis-plus-hs38d1,ncbi
GRCh37.p13-fasta-full-analysis,ncbi
GRCh38.p14-fasta-no-alt-plus-hs38d1,ncbi
GRCh38.p14-fasta-genomic,ncbi
hg19-masked-ucsc,ucsc
hg38-toplevel-rm-113-ensembl,ensembl
hg19-p13-plusMT-masked-ucsc,ucsc
hg19-p13-no-alt-analysis-ucsc,ucsc
hg38-primary-113-ensembl,ensembl
hg38-primary-rm-113-ensembl,ensembl
hg19-p13-full-analysis-ucsc,ucsc
hg19-initial-ucsc,ucsc
hg38-initial-ucsc,ucsc
hg38-toplevel-113-ensembl,ensembl
hg38-p14-ucsc,ucsc
hg19-p13-plusMT-ucsc,ucsc
hg38-primary-sm-113-ensembl,ensembl
hg38-toplevel-sm-113-ensembl,ensembl
GRCh38-p14-47-gencode,gencode
GRCh37-primary-assembly-46-gencode,gencode
GRCh37-primary-assembly-47-gencode,gencode
GRCh38-primary-assembly-47-gencode,gencode
hg18-ucsc,ucsc
GRCh38-primary-assembly-46-gencode,gencode
GRCh38-p14-46-gencode,gencode
GRCh38.p14-fasta-full-analysis,ncbi
GRCh37-igenomes-ensembl,igenomes
GRCh38-igenomes-decoy-ncbi,igenomes
GRCh38-igenomes-build36-3-ncbi,igenomes
GRCh38-igenomes-ncbi,igenomes
GRCh38-igenomes-build37-1-ncbi,igenomes
hg19-igenomes-ucsc,igenomes
GRCh38-igenomes-build37-2-ncbi,igenomes
hg18-igenomes-ucsc,igenomes
hg38-refgenie,refgenie
hg38-igenomes-ucsc,igenomes
hg38-primary-refgenie,refgenie
hg18-refgenie,refgenie
hg19-refgenie,refgenie
hs37-1kg,1000genomes
hs37d5,1000genomes
hs38DH,1000genomes
hs38,ncbi
